Part,Label,Item,Color
head,1,skin,#bd8347
head,1,hair,#1b0f03
head,1,eye,#984b11
head,2,skin,#fbd7c8
head,2,hair,#ececec
head,2,eye,#3f84e4
clothes,defendant,skin,#bd8347
clothes,defendant,shirt,#0a8493
clothes,defendant,pants,#5e5d58
clothes,defendant,buttons,#e7d456
head,3,skin,#fae3c7
head,3,hair,#a45806
head,3,eye,#c46122
head,4,skin,#e9d8c5
head,4,hair,#31302b
head,4,eye,#8d4e1c
head,5,skin,#edd9c1
head,5,hair,#d8610e
head,5,eye,#14653a
clothes,inmate,skin,#edd9c1
clothes,inmate,shirt,#f8990c
clothes,judge,skin,#cd9c1
clothes,judge,shirt,#4f4f4f
clothes,judge,tie,#ecece1
clothes,judge,gavel,#845016
clothes,lawyer,skin,#ecd8c1
clothes,lawyer,shirt,#e5eff9
clothes,lawyer,tie,#c80b1b
clothes,lawyer,suit,#002f83
clothes,lawyer,shoes,#201209
clothes,lawyer,file,#c19501
clothes,police,skin,#f2c083
clothes,police,hilights,#122769
clothes,police,suit,#11476b
clothes,police,shoes_accessories,#444748
clothes,scientist,pants,#0e448d
clothes,scientist,shirt,#ac5008
clothes,scientist,coat,#f0ece1
